Temp,Year,Month,Date
0.8,1961,01,02
3.2,1961,01,31
4.8,1961,03,02
-0.8,1961,04,01
9.2,1961,04,30
19.8,1961,05,30
17.1,1961,06,28
14.6,1961,07,27
17.2,1961,08,26
11.9,1961,09,24
10.4,1961,10,23
-2.2,1961,11,22
-7.8,1961,12,22
4.4,1962,01,20
4.2,1962,02,19
0.9,1962,03,21
11.6,1962,04,20
9.6,1962,05,19
16.7,1962,06,18
14.8,1962,07,17
12.8,1962,08,15
12.0,1962,09,14
7.4,1962,10,13
2.2,1962,11,11
3.7,1962,12,11
-10.5,1963,01,10
-3.9,1963,02,08
-1.0,1963,03,10
6.1,1963,04,09
12.1,1963,05,08
20.5,1963,06,07
19.8,1963,07,06
22.6,1963,08,05
16.9,1963,09,03
9.5,1963,10,03
7.6,1963,11,01
3.6,1963,12,01
3.6,1963,12,30
1.0,1964,01,29
0.0,1964,02,27
3.8,1964,03,28
9.1,1964,04,26
17.3,1964,05,26
16.3,1964,06,25
14.2,1964,07,24
17.1,1964,08,23
8.0,1964,09,21
8.7,1964,10,21
5.8,1964,11,19
-2.8,1964,12,19
3.1,1965,01,17
-3.0,1965,02,16
3.8,1965,03,17
6.2,1965,04,16
5.5,1965,05,15
19.2,1965,06,14
14.4,1965,07,13
17.0,1965,08,12
13.0,1965,09,11
9.9,1965,10,10
7.9,1965,11,09
1.4,1965,12,08
-0.2,1966,01,07
0.7,1966,02,05
6.7,1966,03,07
4.0,1966,04,05
13.5,1966,05,04
14.2,1966,06,03
18.9,1966,07,02
13.9,1966,08,01
15.7,1966,08,31
9.2,1966,09,29
2.8,1966,10,29
5.5,1966,11,28
-4.7,1966,12,27
2.2,1967,01,26
2.6,1967,02,24
8.5,1967,03,26
7.7,1967,04,24
13.7,1967,05,23
16.9,1967,06,22
19.2,1967,07,21
15.8,1967,08,20
15.8,1967,09,18
3.3,1967,10,18
6.3,1967,11,17
0.0,1967,12,17
3.3,1968,01,15
-1.8,1968,02,14
0.1,1968,03,14
11.0,1968,04,13
9.2,1968,05,12
15.4,1968,06,10
16.1,1968,07,10
21.3,1968,08,08
19.6,1968,09,06
5.8,1968,10,06
2.0,1968,11,05
1.1,1968,12,05
-0.9,1969,01,03
1.4,1969,02,02
-2.7,1969,03,04
2.1,1969,04,02
4.3,1969,05,02
13.1,1969,05,31
14.6,1969,06,29
23.6,1969,07,29
13.2,1969,08,27
15.4,1969,09,25
9.4,1969,10,25
-1.7,1969,11,24
-4.3,1969,12,23
-2.4,1970,01,22
-1.4,1970,02,21
-0.3,1970,03,23
5.4,1970,04,21
9.3,1970,05,21
25.0,1970,06,19
16.0,1970,07,18
16.2,1970,08,17
16.4,1970,09,15
7.6,1970,10,14
5.1,1970,11,13
4.5,1970,12,12
2.7,1971,01,11
3.8,1971,02,10
-1.3,1971,03,12
7.5,1971,04,10
18.8,1971,05,10
12.7,1971,06,09
24.9,1971,07,08
20.5,1971,08,06
11.5,1971,09,05
7.7,1971,10,04
11.3,1971,11,02
3.0,1971,12,02
-2.2,1971,12,31
-2.7,1972,01,30
0.0,1972,02,29
1.4,1972,03,29
5.7,1972,04,28
12.4,1972,05,28
21.2,1972,06,26
18.2,1972,07,26
14.7,1972,08,24
10.2,1972,09,23
3.6,1972,10,22
5.9,1972,11,21
2.1,1972,12,20
-0.3,1973,01,18
0.5,1973,02,17
4.3,1973,03,19
6.5,1973,04,17
11.0,1973,05,17
12.5,1973,06,15
20.4,1973,07,15
22.9,1973,08,14
13.6,1973,09,12
1.7,1973,10,12
5.8,1973,11,10
-0.7,1973,12,10
-1.6,1974,01,08
0.3,1974,02,07
0.1,1974,03,08
14.6,1974,04,06
8.7,1974,05,06
12.9,1974,06,04
12.3,1974,07,04
17.2,1974,08,03
17.0,1974,09,01
8.1,1974,10,01
4.6,1974,10,31
-0.4,1974,11,29
4.6,1974,12,29
3.6,1975,01,27
0.5,1975,02,26
1.4,1975,03,27
8.0,1975,04,25
12.6,1975,05,25
24.0,1975,06,23
20.8,1975,07,23
22.2,1975,08,21
15.3,1975,09,20
6.9,1975,10,20
4.8,1975,11,18
-1.0,1975,12,18
-3.0,1976,01,17
-4.9,1976,02,15
-2.0,1976,03,16
7.8,1976,04,14
11.2,1976,05,13
13.9,1976,06,12
21.8,1976,07,11
20.3,1976,08,10
14.5,1976,09,08
11.2,1976,10,08
10.9,1976,11,07
3.2,1976,12,06
